concept	concept_question		prediction_question		limitation_question		Concept Difficulty
	your answer	comments	your answer	comments	your answer	comments	
Abstention_doctrine	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	C	(1) Yes.  (2) The suggested answer is correct.   (3) I wasn't sure about the answer/whether the explainer provided enough info to properly answer the question	B	(1) No.  (2) The suggested answer is correct.   (3) I don't think the answer can be obtained using just the info int the prompt	Easy
Constitutional_convention_(political_custom)	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	D	(1) Yes.  (2) The suggested answer is correct.   (3) The wording of the last question is off since it includes the string ""Constitutional_convention_(political_custom)"?"	Medium
Unaccompanied_minor	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	Medium
Substantial_certainty_doctrine	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	D	(1) No  (2) Suggested answer seems wrong  (3) I think the suggested answer is wrong/the question is a bit confusing to me. When John removes the barrier, he does not know with substantial certainty that Mike would fall in. However, when he decides not to warn mike, it seems like he does know that it is likely he will fall in. 	D	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	Easy
Learned_intermediary	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	B	(1) No.  (2) The suggested answer is wrong.   (3) I found the question confusing. The suggested answer does not seem like a limitation but exactly what the doctrine is about.	Easy
Doctrine_of_foreign_equivalents	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	C	(1) No.  (2) The suggested answer is correct.   (3) This is a fairly tough question that requires a lot of inference. But I made a mistake. 	Easy
Prosecutorial_discretion	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	Easy
Safe_harbor_(law)	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	C	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	Medium
FTC_v._Dean_Foods_Co.	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	B	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	D	(1) Yes.  (2) The suggested answer is correct.   (3) No further suggestions.	Medium
