concept	condition	concept_question_E2	concept_question_E1	concept_question_GPT4	prediction_question_E2	prediction_question_E1	prediction_question_GPT4	limitation_question_E2	limitation_question_E1	limitation_question_GPT4
Abstention_doctrine	E1	C	C	C	C	C	C	B	A	C
Constitutional_convention_(political_custom)	E1	B	B	B	C	C	C	D	D	D
Unaccompanied_minor	E2	C	C	C	B	B	B	C	C	C
Substantial_certainty_doctrine	E1	B	B	B	D	B	B	D	D	D
Learned_intermediary	E1	B	B	B	B	B	B	B	A	A
Doctrine_of_foreign_equivalents	E2	B	B	B	C	C	C	A	A	A
Prosecutorial_discretion	E1	B	B	B	B	B	B	C	C	C
Safe_harbor_(law)	E2	B	B	B	B	B	B	C	C	D
FTC_v._Dean_Foods_Co.	E1	B	B	B	B	B	B	D	D	D
Volenti_non_fit_injuria	E2	B	B	B	A	A	A	C	C	C
Plain_meaning_rule	E1	B	B	B	B	A	A	C	C	C
Purcell_principle	E2	C	C	C	B	A	A	D	D	D
Presumption_(Catholic_canon_law)	E2	B	B	B	D	D	D	C	C	C
Wrongdoing	E2	C	C	C	B	B	B	D	D	D
Remoteness_in_English_law	E2	C	B	B	A	A	A	B	B	B
Pacta_sunt_servanda	E2	B	B	B	C	B	C	A	A	A
Maxwellisation	E2	B	B	B	B	B	B	C	C	C
Brady_disclosure	E1	B	B	B	B	B	B	D	D	D
Undue_hardship	E1	B	B	B	B	B	B	D	D	D
Commanding_precedent	E1	B	B	B	D	D	D	C	C	C
