	concept	q_id	story-comments	q1-issues	q2-issues	q3-issues
0	Abstention_doctrine	0	The story further expantiates the use of abstention doctrine in physical world.	There are more than one right answers in the 4 candidates.	There is no issue.	There is no issue.
1	Abstention_doctrine	0	I can read it all over again clearly and get a good impression.	There is no issue.	There are more than one right answers in the 4 candidates.	The reasoning given in the suggested answer is wrong or flawed.
2	Abstention_doctrine	0	It is comprehensive.	There is no issue.	There is no issue.	The question is too easy and simple.
3	Brady_disclosure	1	Few ambiguities in the story/narrative.	There is no issue.	There are more than one right answers in the 4 candidates.	There is no issue.
4	Brady_disclosure	1	It is perfectly structured just could be better off with references and citations.	There is no issue.	There is no issue.	There is no issue.
5	Brady_disclosure	1	Simple and easy to understand.	There is no issue.	There is no issue.	There is no issue.
6	Commanding_precedent	2	Narrative further expantiates on the term.	There is no issue.	There is no issue.	There is no issue.
7	Commanding_precedent	2	It is a story that can be viewed as moral, relatable, and is relevant.	There is no issue.	There are more than one right answers in the 4 candidates.	The question cannot be derived from the definition or story above.
8	Commanding_precedent	2	Comprehensive	The question is too easy and simple.	There is no issue.	There is no issue.
9	Constitutional_convention_(political_custom)	3	None	There is no issue.	There is no issue.	There is no issue.
10	Constitutional_convention_(political_custom)	3	It is a bit confusing and incomplete but very readable.	There is no issue.	There are more than one right answers in the 4 candidates.	The reasoning given in the suggested answer is wrong or flawed.
11	Constitutional_convention_(political_custom)	3	This is perfect to read and understand.	There is no issue.	There is no issue.	There is no issue.
12	Doctrine_of_foreign_equivalents	4	No comments	There is no issue.	There are more than one right answers in the 4 candidates.	There is no issue.
13	Doctrine_of_foreign_equivalents	4	The story tells a good narrative and is perfect as is.	There is no issue.	The reasoning given in the suggested answer is wrong or flawed.	There is no issue.
14	Doctrine_of_foreign_equivalents	4	Comprehensive	There is no issue.	There is no issue.	There is no issue.
15	FTC_v._Dean_Foods_Co.	5	most americans are familiar with baguettes, imho	The question cannot be derived from the definition or story above.	There are more than one right answers in the 4 candidates.	The question is confusing.
16	FTC_v._Dean_Foods_Co.	5	The story does not give a detailed explanation/description of the legal term..	There is no issue.	There is no issue.	There is no issue.
17	FTC_v._Dean_Foods_Co.	5	it was well-written and made the underlying principle easier to understand in layman's terms	There is no issue.	There is no issue.	There is no issue.
18	Learned_intermediary	6	nan	The question is too easy and simple.	There are more than one right answers in the 4 candidates.	The question cannot be derived from the definition or story above.,Other issues not covered above
19	Learned_intermediary	6	No comments.	Other issues not covered above,There is no issue.	There is no issue.	There is no issue.
20	Learned_intermediary	6	this story is good. It is easy to read but also engaging 	The question is confusing.,Other issues not covered above	The question is too easy and simple.	The question is confusing.,The reasoning given in the suggested answer is wrong or flawed.
21	Maxwellisation	7	nan	There are more than one right answers in the 4 candidates.,The reasoning given in the suggested answer is wrong or flawed.	The question is confusing.,There are more than one right answers in the 4 candidates.,The reasoning given in the suggested answer is wrong or flawed.	There are more than one right answers in the 4 candidates.,Other issues not covered above
22	Maxwellisation	7	No comment.	There is no issue.	There is no issue.	There is no issue.
23	Maxwellisation	7	the story does not follow a story format, and it is just confusing to read	There is no issue.	There is no issue.	There is no issue.
