	PROLIFIC_PID	q_id	law_background	age	gender	edu_background	law_interest	relevance	conceptQ	predictionQ	limitationQ	familiarity_concept	perceived_difficulty	batch_id	concept	concept_question_answer	prediction_question_answer	limitation_question_answer
0	656f042cc31f84842ad587e4	0	0.0	4.0	0.0	4.0	4.0	3.0	1.0	1.0	1.0	5.0	4.0	1	Abstention_doctrine	2	2	2
1	5b6a87d2cda8590001db8e07	0	1.0	2.0	1.0	4.0	4.0	2.0	2.0	2.0	2.0	1.0	2.0	1	Abstention_doctrine	2	2	2
2	5d33c8bef7b9c100015ae7d1	0	0.0	2.0	1.0	4.0	3.0	2.0	2.0	1.0	2.0	1.0	2.0	1	Abstention_doctrine	2	2	2
3	60fcc00af3ec0d2d4b95c4be	0	0.0	1.0	1.0	4.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	1	Abstention_doctrine	2	2	2
4	656b2f8d41ad79f68926ad34	0	0.0	3.0	0.0	4.0	5.0	3.0	2.0	2.0	2.0	3.0	2.0	1	Abstention_doctrine	2	2	2
5	654d03ec6d9ed752946923cd	0	0.0	3.0	0.0	4.0	5.0	4.0	2.0	2.0	2.0	3.0	3.0	1	Abstention_doctrine	2	2	2
6	60fda20d89edf1022f91ace9	0	1.0	0.0	1.0	4.0	5.0	3.0	2.0	2.0	3.0	2.0	3.0	1	Abstention_doctrine	2	2	2
7	5fe95a890d786d3acd6efd81	0	1.0	0.0	0.0	4.0	4.0	2.0	2.0	2.0	1.0	1.0	3.0	1	Abstention_doctrine	2	2	2
8	5dedd99a3d36b24855532bb3	0	1.0	0.0	1.0	4.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	1	Abstention_doctrine	2	2	2
9	6556364a457cabc2f54b1063	0	1.0	2.0	1.0	4.0	3.0	2.0	2.0	2.0	2.0	1.0	4.0	1	Abstention_doctrine	2	2	2
10	65550ddd94cc3b75a2d2c6c8	0	1.0	4.0	1.0	4.0	5.0	5.0	2.0	2.0	3.0	1.0	4.0	1	Abstention_doctrine	2	2	2
11	657098b0798caed9bcc7d7c7	0	1.0	1.0	0.0	4.0	4.0	1.0	2.0	2.0	1.0	1.0	3.0	1	Abstention_doctrine	2	2	2
12	6107f349217073b43a3684af	0	1.0	1.0	0.0	4.0	4.0	1.0	2.0	2.0	2.0	1.0	3.0	1	Abstention_doctrine	2	2	2
13	5b53e95f4bbe600001465c18	0	1.0	2.0	1.0	4.0	5.0	1.0	2.0	1.0	2.0	1.0	4.0	1	Abstention_doctrine	2	2	2
14	632aaef27780d596dc7e0a9f	0	0.0	2.0	0.0	4.0	5.0	5.0	2.0	1.0	1.0	1.0	5.0	1	Abstention_doctrine	2	2	2
15	60fe22beeb612ead4d261590	0	1.0	1.0	1.0	4.0	2.0	2.0	2.0	2.0	2.0	1.0	3.0	1	Abstention_doctrine	2	2	2
16	63fcb3abff7248e2177ddb48	0	1.0	1.0	1.0	4.0	3.0	1.0	2.0	3.0	1.0	1.0	5.0	1	Abstention_doctrine	2	2	2
17	656f042cc31f84842ad587e4	1	0.0	4.0	0.0	4.0	4.0	4.0	1.0	1.0	3.0	4.0	3.0	1	Constitutional_convention_(political_custom)	1	2	3
18	5b6a87d2cda8590001db8e07	1	1.0	2.0	1.0	4.0	4.0	4.0	1.0	0.0	3.0	2.0	1.0	1	Constitutional_convention_(political_custom)	1	2	3
19	5d33c8bef7b9c100015ae7d1	1	0.0	2.0	1.0	4.0	3.0	1.0	1.0	2.0	3.0	1.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
20	60fcc00af3ec0d2d4b95c4be	1	0.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0	3.0	1.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
21	656b2f8d41ad79f68926ad34	1	0.0	3.0	0.0	4.0	5.0	4.0	1.0	2.0	3.0	3.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
22	654d03ec6d9ed752946923cd	1	0.0	3.0	0.0	4.0	5.0	4.0	1.0	2.0	3.0	3.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
23	60fda20d89edf1022f91ace9	1	1.0	0.0	1.0	4.0	5.0	2.0	1.0	2.0	3.0	2.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
24	5fe95a890d786d3acd6efd81	1	1.0	0.0	0.0	4.0	4.0	3.0	1.0	3.0	3.0	5.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
25	5dedd99a3d36b24855532bb3	1	1.0	0.0	1.0	4.0	4.0	2.0	1.0	2.0	3.0	3.0	3.0	1	Constitutional_convention_(political_custom)	1	2	3
26	6556364a457cabc2f54b1063	1	1.0	2.0	1.0	4.0	3.0	1.0	1.0	2.0	3.0	1.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
27	65550ddd94cc3b75a2d2c6c8	1	1.0	4.0	1.0	4.0	5.0	2.0	1.0	2.0	3.0	1.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
28	657098b0798caed9bcc7d7c7	1	1.0	1.0	0.0	4.0	4.0	1.0	1.0	2.0	3.0	1.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
29	6107f349217073b43a3684af	1	1.0	1.0	0.0	4.0	4.0	1.0	1.0	2.0	3.0	1.0	4.0	1	Constitutional_convention_(political_custom)	1	2	3
30	5b53e95f4bbe600001465c18	1	1.0	2.0	1.0	4.0	5.0	1.0	1.0	2.0	3.0	1.0	5.0	1	Constitutional_convention_(political_custom)	1	2	3
