	PROLIFIC_PID	q_id	conceptQ	predictionQ	limitationQ	familiarity_concept	concept	concept_question_answer	prediction_question_answer	limitation_question_answer
0	656f042cc31f84842ad587e4	0	0.0	1.0	3.0	1.0	Abstention_doctrine	0	3	0
1	60fcc00af3ec0d2d4b95c4be	0	0.0	3.0	0.0	3.0	Abstention_doctrine	0	3	0
2	5d33c8bef7b9c100015ae7d1	0	0.0	1.0	0.0	3.0	Abstention_doctrine	0	3	0
3	5b6a87d2cda8590001db8e07	0	0.0	3.0	0.0	2.0	Abstention_doctrine	0	3	0
4	65550ddd94cc3b75a2d2c6c8	0	0.0	3.0	0.0	4.0	Abstention_doctrine	0	3	0
5	5fe95a890d786d3acd6efd81	0	0.0	3.0	0.0	3.0	Abstention_doctrine	0	3	0
6	5dedd99a3d36b24855532bb3	0	0.0	3.0	0.0	4.0	Abstention_doctrine	0	3	0
7	6556364a457cabc2f54b1063	0	0.0	3.0	1.0	1.0	Abstention_doctrine	0	3	0
8	6107f349217073b43a3684af	0	0.0	3.0	0.0	3.0	Abstention_doctrine	0	3	0
9	60fda20d89edf1022f91ace9	0	0.0	3.0	3.0	3.0	Abstention_doctrine	0	3	0
10	657098b0798caed9bcc7d7c7	0	0.0	3.0	0.0	2.0	Abstention_doctrine	0	3	0
11	656f042cc31f84842ad587e4	1	2.0	0.0	2.0	1.0	Constitutional_convention_(political_custom)	2	0	2
12	60fcc00af3ec0d2d4b95c4be	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
13	5d33c8bef7b9c100015ae7d1	1	2.0	0.0	2.0	2.0	Constitutional_convention_(political_custom)	2	0	2
14	5b6a87d2cda8590001db8e07	1	2.0	2.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
15	65550ddd94cc3b75a2d2c6c8	1	2.0	0.0	2.0	4.0	Constitutional_convention_(political_custom)	2	0	2
16	5fe95a890d786d3acd6efd81	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
17	5dedd99a3d36b24855532bb3	1	2.0	0.0	2.0	4.0	Constitutional_convention_(political_custom)	2	0	2
18	6556364a457cabc2f54b1063	1	2.0	0.0	2.0	2.0	Constitutional_convention_(political_custom)	2	0	2
19	6107f349217073b43a3684af	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
20	60fda20d89edf1022f91ace9	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
21	657098b0798caed9bcc7d7c7	1	2.0	0.0	2.0	2.0	Constitutional_convention_(political_custom)	2	0	2
22	656f042cc31f84842ad587e4	2	1.0	2.0	0.0	5.0	Unaccompanied_minor	1	2	3
23	60fcc00af3ec0d2d4b95c4be	2	1.0	1.0	2.0	4.0	Unaccompanied_minor	1	2	3
24	5d33c8bef7b9c100015ae7d1	2	1.0	2.0	2.0	4.0	Unaccompanied_minor	1	2	3
25	5b6a87d2cda8590001db8e07	2	1.0	2.0	3.0	4.0	Unaccompanied_minor	1	2	3
26	65550ddd94cc3b75a2d2c6c8	2	1.0	2.0	3.0	4.0	Unaccompanied_minor	1	2	3
27	5fe95a890d786d3acd6efd81	2	1.0	2.0	3.0	4.0	Unaccompanied_minor	1	2	3
28	5dedd99a3d36b24855532bb3	2	1.0	2.0	3.0	5.0	Unaccompanied_minor	1	2	3
29	6556364a457cabc2f54b1063	2	1.0	2.0	3.0	3.0	Unaccompanied_minor	1	2	3
30	6107f349217073b43a3684af	2	1.0	1.0	2.0	3.0	Unaccompanied_minor	1	2	3
31	60fda20d89edf1022f91ace9	2	1.0	2.0	3.0	2.0	Unaccompanied_minor	1	2	3
32	657098b0798caed9bcc7d7c7	2	1.0	2.0	3.0	3.0	Unaccompanied_minor	1	2	3
33	656f042cc31f84842ad587e4	3	3.0	1.0	2.0	4.0	Substantial_certainty_doctrine	3	1	2
34	60fcc00af3ec0d2d4b95c4be	3	3.0	1.0	2.0	3.0	Substantial_certainty_doctrine	3	1	2
35	5d33c8bef7b9c100015ae7d1	3	3.0	1.0	2.0	3.0	Substantial_certainty_doctrine	3	1	2
36	5b6a87d2cda8590001db8e07	3	3.0	1.0	2.0	3.0	Substantial_certainty_doctrine	3	1	2
37	65550ddd94cc3b75a2d2c6c8	3	3.0	1.0	0.0	4.0	Substantial_certainty_doctrine	3	1	2
38	5fe95a890d786d3acd6efd81	3	3.0	0.0	2.0	3.0	Substantial_certainty_doctrine	3	1	2
