	PROLIFIC_PID	q_id	law_background	age	gender	edu_background	law_interest	relevance	conceptQ	predictionQ	limitationQ	familiarity_concept	perceived_difficulty	familiarity_story_setting	batch_id	concept	concept_question_answer	prediction_question_answer	limitation_question_answer
0	5cfeea9c4954fe00165895e0	0	1.0	3.0	0.0	4.0	3.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1	Abstention_doctrine	2	2	2
1	5e54dced73aedb4d4b807060	0	0.0	2.0	1.0	4.0	2.0	4.0	2.0	2.0	0.0	1.0	2.0	5.0	1	Abstention_doctrine	2	2	2
2	56a38b45dbe850000cfd50c3	0	0.0	1.0	0.0	4.0	4.0	2.0	2.0	1.0	1.0	1.0	3.0	4.0	1	Abstention_doctrine	2	2	2
3	6533bb8a9f2e2ac4de2feefd	0	1.0	1.0	1.0	4.0	5.0	4.0	2.0	1.0	2.0	1.0	2.0	5.0	1	Abstention_doctrine	2	2	2
4	63c48023d6116ee42fa17bf8	0	1.0	1.0	0.0	4.0	4.0	4.0	2.0	3.0	2.0	4.0	3.0	3.0	1	Abstention_doctrine	2	2	2
5	63ebc09770586edc200078ab	0	1.0	1.0	0.0	4.0	4.0	5.0	2.0	2.0	2.0	1.0	2.0	5.0	1	Abstention_doctrine	2	2	2
6	600c167e28de48080e812884	0	1.0	4.0	0.0	4.0	3.0	2.0	2.0	2.0	0.0	2.0	3.0	4.0	1	Abstention_doctrine	2	2	2
7	62adef58d6f991bb5660e772	0	0.0	1.0	0.0	4.0	5.0	3.0	2.0	2.0	2.0	1.0	4.0	3.0	1	Abstention_doctrine	2	2	2
8	55b3120cfdf99b6ef6263a71	0	1.0	4.0	1.0	4.0	5.0	5.0	2.0	2.0	2.0	1.0	2.0	4.0	1	Abstention_doctrine	2	2	2
9	65352f577856b1a9cd05af56	0	1.0	0.0	1.0	4.0	4.0	3.0	2.0	2.0	2.0	1.0	4.0	5.0	1	Abstention_doctrine	2	2	2
10	6543ac0da57f182d55495282	0	1.0	1.0	1.0	4.0	2.0	4.0	2.0	2.0	2.0	1.0	4.0	4.0	1	Abstention_doctrine	2	2	2
11	5e667f3bc3f30a4050fc8f2f	0	1.0	4.0	0.0	4.0	4.0	1.0	2.0	1.0	2.0	1.0	4.0	3.0	1	Abstention_doctrine	2	2	2
12	656de95d96d9c1b0bfa2ba83	0	0.0	5.0	1.0	4.0	2.0	3.0	2.0	1.0	2.0	1.0	3.0	3.0	1	Abstention_doctrine	2	2	2
13	6471801682f074f04e9e66cf	0	1.0	3.0	0.0	4.0	4.0	3.0	0.0	0.0	1.0	2.0	3.0	3.0	1	Abstention_doctrine	2	2	2
14	657205bc657023eae65ca983	0	1.0	0.0	1.0	4.0	3.0	3.0	2.0	2.0	2.0	1.0	3.0	3.0	1	Abstention_doctrine	2	2	2
15	6100082f7b0b86dacf092ad9	0	1.0	1.0	1.0	4.0	4.0	2.0	2.0	2.0	2.0	1.0	3.0	4.0	1	Abstention_doctrine	2	2	2
16	5cfeea9c4954fe00165895e0	1	1.0	3.0	0.0	4.0	3.0	1.0	1.0	2.0	2.0	1.0	2.0	3.0	1	Constitutional_convention_(political_custom)	1	2	3
