	PROLIFIC_PID	q_id	conceptQ	predictionQ	limitationQ	familiarity_concept	concept	concept_question_answer	prediction_question_answer	limitation_question_answer
0	656de95d96d9c1b0bfa2ba83	0	0.0	1.0	2.0	3.0	Abstention_doctrine	0	3	0
1	56a38b45dbe850000cfd50c3	0	0.0	3.0	1.0	4.0	Abstention_doctrine	0	3	0
2	6533bb8a9f2e2ac4de2feefd	0	0.0	1.0	0.0	5.0	Abstention_doctrine	0	3	0
3	6543ac0da57f182d55495282	0	0.0	3.0	2.0	2.0	Abstention_doctrine	0	3	0
4	6100082f7b0b86dacf092ad9	0	0.0	1.0	0.0	4.0	Abstention_doctrine	0	3	0
5	55b3120cfdf99b6ef6263a71	0	0.0	1.0	0.0	3.0	Abstention_doctrine	0	3	0
6	62adef58d6f991bb5660e772	0	0.0	3.0	0.0	3.0	Abstention_doctrine	0	3	0
7	65352f577856b1a9cd05af56	0	0.0	3.0	1.0	3.0	Abstention_doctrine	0	3	0
8	5cfeea9c4954fe00165895e0	0	0.0	3.0	0.0	2.0	Abstention_doctrine	0	3	0
9	657205bc657023eae65ca983	0	0.0	1.0	0.0	1.0	Abstention_doctrine	0	3	0
10	6471801682f074f04e9e66cf	0	1.0	0.0	1.0	4.0	Abstention_doctrine	0	3	0
11	656de95d96d9c1b0bfa2ba83	1	1.0	2.0	2.0	2.0	Constitutional_convention_(political_custom)	2	0	2
12	56a38b45dbe850000cfd50c3	1	2.0	0.0	2.0	5.0	Constitutional_convention_(political_custom)	2	0	2
13	6533bb8a9f2e2ac4de2feefd	1	2.0	0.0	2.0	5.0	Constitutional_convention_(political_custom)	2	0	2
14	6543ac0da57f182d55495282	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
15	6100082f7b0b86dacf092ad9	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
16	55b3120cfdf99b6ef6263a71	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
17	62adef58d6f991bb5660e772	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
18	65352f577856b1a9cd05af56	1	2.0	0.0	2.0	4.0	Constitutional_convention_(political_custom)	2	0	2
19	5cfeea9c4954fe00165895e0	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
20	657205bc657023eae65ca983	1	1.0	0.0	2.0	1.0	Constitutional_convention_(political_custom)	2	0	2
21	6471801682f074f04e9e66cf	1	0.0	0.0	1.0	3.0	Constitutional_convention_(political_custom)	2	0	2
22	656de95d96d9c1b0bfa2ba83	2	1.0	2.0	0.0	3.0	Unaccompanied_minor	1	2	3
23	56a38b45dbe850000cfd50c3	2	1.0	2.0	3.0	5.0	Unaccompanied_minor	1	2	3
24	6533bb8a9f2e2ac4de2feefd	2	1.0	2.0	3.0	5.0	Unaccompanied_minor	1	2	3
25	6543ac0da57f182d55495282	2	1.0	2.0	3.0	2.0	Unaccompanied_minor	1	2	3
26	6100082f7b0b86dacf092ad9	2	1.0	2.0	3.0	5.0	Unaccompanied_minor	1	2	3
27	55b3120cfdf99b6ef6263a71	2	1.0	0.0	2.0	3.0	Unaccompanied_minor	1	2	3
28	62adef58d6f991bb5660e772	2	1.0	2.0	3.0	3.0	Unaccompanied_minor	1	2	3
29	65352f577856b1a9cd05af56	2	1.0	2.0	3.0	4.0	Unaccompanied_minor	1	2	3
30	5cfeea9c4954fe00165895e0	2	1.0	2.0	3.0	3.0	Unaccompanied_minor	1	2	3
31	657205bc657023eae65ca983	2	1.0	2.0	3.0	2.0	Unaccompanied_minor	1	2	3
32	6471801682f074f04e9e66cf	2	1.0	1.0	3.0	3.0	Unaccompanied_minor	1	2	3
33	656de95d96d9c1b0bfa2ba83	3	3.0	1.0	1.0	1.0	Substantial_certainty_doctrine	3	1	2
34	56a38b45dbe850000cfd50c3	3	3.0	1.0	2.0	4.0	Substantial_certainty_doctrine	3	1	2
35	6533bb8a9f2e2ac4de2feefd	3	3.0	1.0	2.0	5.0	Substantial_certainty_doctrine	3	1	2
36	6543ac0da57f182d55495282	3	3.0	0.0	2.0	1.0	Substantial_certainty_doctrine	3	1	2
37	6100082f7b0b86dacf092ad9	3	3.0	1.0	2.0	4.0	Substantial_certainty_doctrine	3	1	2
38	55b3120cfdf99b6ef6263a71	3	3.0	0.0	2.0	3.0	Substantial_certainty_doctrine	3	1	2
39	62adef58d6f991bb5660e772	3	3.0	1.0	2.0	3.0	Substantial_certainty_doctrine	3	1	2
40	65352f577856b1a9cd05af56	3	3.0	1.0	2.0	3.0	Substantial_certainty_doctrine	3	1	2
41	5cfeea9c4954fe00165895e0	3	3.0	1.0	2.0	4.0	Substantial_certainty_doctrine	3	1	2
42	657205bc657023eae65ca983	3	3.0	0.0	2.0	2.0	Substantial_certainty_doctrine	3	1	2
43	6471801682f074f04e9e66cf	3	1.0	0.0	1.0	3.0	Substantial_certainty_doctrine	3	1	2
44	656de95d96d9c1b0bfa2ba83	4	0.0	2.0	1.0	4.0	Learned_intermediary	0	3	1
45	56a38b45dbe850000cfd50c3	4	0.0	3.0	1.0	4.0	Learned_intermediary	0	3	1
46	6533bb8a9f2e2ac4de2feefd	4	0.0	3.0	1.0	5.0	Learned_intermediary	0	3	1
47	6543ac0da57f182d55495282	4	0.0	3.0	1.0	2.0	Learned_intermediary	0	3	1
48	6100082f7b0b86dacf092ad9	4	0.0	3.0	1.0	4.0	Learned_intermediary	0	3	1
49	55b3120cfdf99b6ef6263a71	4	0.0	3.0	1.0	3.0	Learned_intermediary	0	3	1
50	62adef58d6f991bb5660e772	4	0.0	3.0	1.0	3.0	Learned_intermediary	0	3	1
51	65352f577856b1a9cd05af56	4	0.0	3.0	1.0	4.0	Learned_intermediary	0	3	1
52	5cfeea9c4954fe00165895e0	4	0.0	3.0	1.0	4.0	Learned_intermediary	0	3	1
53	657205bc657023eae65ca983	4	0.0	3.0	1.0	2.0	Learned_intermediary	0	3	1
54	6471801682f074f04e9e66cf	4	1.0	2.0	2.0	3.0	Learned_intermediary	0	3	1
55	632aaef27780d596dc7e0a9f	14	2.0	2.0	3.0	1.0	Remoteness_in_English_law	0	1	3
56	64e535a54df10cb908664b3e	14	0.0	1.0	3.0	4.0	Remoteness_in_English_law	0	1	3
57	614e1caefcd4fae7eb8d7a39	14	2.0	1.0	3.0	2.0	Remoteness_in_English_law	0	1	3
58	60fe1fbba011e1cbbf2d7624	14	2.0	1.0	3.0	4.0	Remoteness_in_English_law	0	1	3
59	64135983899b0b3fa3ddfab9	14	0.0	1.0	3.0	4.0	Remoteness_in_English_law	0	1	3
60	651063c9a9f53082d3a290df	14	0.0	1.0	3.0	4.0	Remoteness_in_English_law	0	1	3
61	655c33b53e08b585830af707	14	0.0	1.0	3.0	4.0	Remoteness_in_English_law	0	1	3
62	5fc6df58f380620a09116434	14	0.0	1.0	3.0	3.0	Remoteness_in_English_law	0	1	3
63	647be991db1ffbd6bbcc5bc6	14	3.0	1.0	3.0	4.0	Remoteness_in_English_law	0	1	3
64	65721f824cd8133519dd9f68	14	0.0	1.0	3.0	2.0	Remoteness_in_English_law	0	1	3
65	632aaef27780d596dc7e0a9f	15	2.0	1.0	3.0	1.0	Pacta_sunt_servanda	2	0	3
66	64e535a54df10cb908664b3e	15	2.0	0.0	3.0	5.0	Pacta_sunt_servanda	2	0	3
67	614e1caefcd4fae7eb8d7a39	15	2.0	0.0	3.0	2.0	Pacta_sunt_servanda	2	0	3
68	60fe1fbba011e1cbbf2d7624	15	2.0	0.0	3.0	5.0	Pacta_sunt_servanda	2	0	3
69	64135983899b0b3fa3ddfab9	15	2.0	0.0	3.0	4.0	Pacta_sunt_servanda	2	0	3
70	651063c9a9f53082d3a290df	15	2.0	0.0	3.0	5.0	Pacta_sunt_servanda	2	0	3
71	655c33b53e08b585830af707	15	2.0	0.0	3.0	4.0	Pacta_sunt_servanda	2	0	3
72	5fc6df58f380620a09116434	15	2.0	0.0	3.0	1.0	Pacta_sunt_servanda	2	0	3
73	647be991db1ffbd6bbcc5bc6	15	2.0	1.0	3.0	1.0	Pacta_sunt_servanda	2	0	3
74	65721f824cd8133519dd9f68	15	2.0	3.0	3.0	2.0	Pacta_sunt_servanda	2	0	3
75	632aaef27780d596dc7e0a9f	17	1.0	2.0	0.0	1.0	Brady_disclosure	2	0	1
76	64e535a54df10cb908664b3e	17	2.0	3.0	1.0	5.0	Brady_disclosure	2	0	1
77	614e1caefcd4fae7eb8d7a39	17	2.0	0.0	1.0	2.0	Brady_disclosure	2	0	1
78	60fe1fbba011e1cbbf2d7624	17	2.0	0.0	1.0	4.0	Brady_disclosure	2	0	1
79	64135983899b0b3fa3ddfab9	17	2.0	3.0	1.0	4.0	Brady_disclosure	2	0	1
80	651063c9a9f53082d3a290df	17	2.0	0.0	1.0	4.0	Brady_disclosure	2	0	1
81	655c33b53e08b585830af707	17	2.0	0.0	1.0	4.0	Brady_disclosure	2	0	1
82	5fc6df58f380620a09116434	17	2.0	0.0	1.0	1.0	Brady_disclosure	2	0	1
83	647be991db1ffbd6bbcc5bc6	17	1.0	0.0	1.0	4.0	Brady_disclosure	2	0	1
84	65721f824cd8133519dd9f68	17	2.0	0.0	1.0	1.0	Brady_disclosure	2	0	1
85	632aaef27780d596dc7e0a9f	18	2.0	2.0	3.0	1.0	Undue_hardship	3	3	0
86	64e535a54df10cb908664b3e	18	1.0	3.0	0.0	5.0	Undue_hardship	3	3	0
87	614e1caefcd4fae7eb8d7a39	18	3.0	3.0	0.0	2.0	Undue_hardship	3	3	0
88	60fe1fbba011e1cbbf2d7624	18	3.0	3.0	0.0	4.0	Undue_hardship	3	3	0
89	64135983899b0b3fa3ddfab9	18	3.0	3.0	0.0	4.0	Undue_hardship	3	3	0
90	651063c9a9f53082d3a290df	18	3.0	3.0	0.0	5.0	Undue_hardship	3	3	0
91	655c33b53e08b585830af707	18	3.0	3.0	0.0	5.0	Undue_hardship	3	3	0
92	5fc6df58f380620a09116434	18	3.0	3.0	0.0	4.0	Undue_hardship	3	3	0
93	647be991db1ffbd6bbcc5bc6	18	0.0	3.0	0.0	5.0	Undue_hardship	3	3	0
94	65721f824cd8133519dd9f68	18	3.0	3.0	0.0	2.0	Undue_hardship	3	3	0
95	632aaef27780d596dc7e0a9f	19	3.0	3.0	1.0	1.0	Commanding_precedent	0	1	1
