	PROLIFIC_PID	q_id	law_background	age	gender	edu_background	law_interest	relevance	conceptQ	predictionQ	limitationQ	familiarity_concept	perceived_difficulty	batch_id	concept	concept_question_answer	prediction_question_answer	limitation_question_answer
0	5f42d7f515c23f500bd34d57	0	1.0	2.0	0.0	4.0	4.0	2.0	2.0	2.0	1.0	2.0	3.0	1	Abstention_doctrine	2	2	2
1	6525b562b415d2f7ed82196e	0	1.0	1.0	1.0	4.0	5.0	4.0	2.0	2.0	0.0	1.0	3.0	1	Abstention_doctrine	2	2	2
2	5fed6c9c0d786daf31f29f3d	0	0.0	2.0	1.0	4.0	5.0	1.0	2.0	2.0	2.0	2.0	3.0	1	Abstention_doctrine	2	2	2
3	5c81797a5bb27200013c7b1b	0	1.0	1.0	0.0	4.0	5.0	1.0	2.0	2.0	3.0	1.0	1.0	1	Abstention_doctrine	2	2	2
4	652c3486250595e2f18d3d7f	0	1.0	2.0	1.0	4.0	3.0	3.0	2.0	1.0	1.0	3.0	3.0	1	Abstention_doctrine	2	2	2
5	65510e18d5c77d6aca4c119f	0	1.0	1.0	0.0	4.0	4.0	4.0	2.0	1.0	2.0	2.0	2.0	1	Abstention_doctrine	2	2	2
6	655fb8c644eeae73f71e2ef5	0	0.0	1.0	0.0	4.0	1.0	1.0	2.0	1.0	2.0	1.0	4.0	1	Abstention_doctrine	2	2	2
7	650d2857d00b55d1e7fd8691	0	1.0	0.0	0.0	4.0	4.0	2.0	2.0	0.0	0.0	1.0	3.0	1	Abstention_doctrine	2	2	2
8	6533e7003e89335516d43e66	0	1.0	1.0	1.0	4.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	1	Abstention_doctrine	2	2	2
9	60c20992212adb0a37fb5259	0	1.0	1.0	0.0	4.0	3.0	1.0	2.0	0.0	2.0	2.0	4.0	1	Abstention_doctrine	2	2	2
10	656160ea21fef6a13435476c	0	1.0	1.0	1.0	4.0	4.0	2.0	3.0	1.0	2.0	2.0	4.0	1	Abstention_doctrine	2	2	2
11	65636ef7d64d364e644c5951	0	0.0	1.0	1.0	4.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	1	Abstention_doctrine	2	2	2
12	614ef0f185fa0c76a6b17335	0	1.0	3.0	0.0	4.0	4.0	2.0	2.0	1.0	3.0	2.0	3.0	1	Abstention_doctrine	2	2	2
13	654288b221124dbf3ca71b29	0	1.0	0.0	1.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	1	Abstention_doctrine	2	2	2
