	PROLIFIC_PID	q_id	conceptQ	predictionQ	limitationQ	familiarity_concept	concept	concept_question_answer	prediction_question_answer	limitation_question_answer
0	5faefcc22be93b11829e84df	0	0.0	3.0	0.0	2.0	Abstention_doctrine	0	3	0
1	6533e7003e89335516d43e66	0	0.0	3.0	0.0	1.0	Abstention_doctrine	0	3	0
2	6552b16899091e4aaa587d1b	0	0.0	1.0	2.0	4.0	Abstention_doctrine	0	3	0
3	6496ef958d0761d8a3fdff52	0	0.0	0.0	2.0	4.0	Abstention_doctrine	0	3	0
4	6548f1c15e6d25e5ab40d001	0	0.0	1.0	1.0	2.0	Abstention_doctrine	0	3	0
5	655a72ea33298201276c64df	0	0.0	1.0	0.0	2.0	Abstention_doctrine	0	3	0
6	6525b562b415d2f7ed82196e	0	0.0	3.0	2.0	2.0	Abstention_doctrine	0	3	0
7	5fed6c9c0d786daf31f29f3d	0	0.0	3.0	0.0	4.0	Abstention_doctrine	0	3	0
8	655fb8c644eeae73f71e2ef5	0	0.0	3.0	0.0	1.0	Abstention_doctrine	0	3	0
9	5c81797a5bb27200013c7b1b	0	0.0	3.0	2.0	2.0	Abstention_doctrine	0	3	0
10	656160ea21fef6a13435476c	0	0.0	1.0	0.0	3.0	Abstention_doctrine	0	3	0
11	65636ef7d64d364e644c5951	0	0.0	3.0	0.0	4.0	Abstention_doctrine	0	3	0
12	646184c4dd714ee460118417	0	0.0	3.0	0.0	1.0	Abstention_doctrine	0	3	0
13	6267c3d17f88988d0d787c7f	0	0.0	3.0	0.0	3.0	Abstention_doctrine	0	3	0
14	650d2857d00b55d1e7fd8691	0	0.0	3.0	0.0	3.0	Abstention_doctrine	0	3	0
15	65510e18d5c77d6aca4c119f	0	0.0	1.0	0.0	3.0	Abstention_doctrine	0	3	0
16	5faefcc22be93b11829e84df	1	2.0	0.0	2.0	2.0	Constitutional_convention_(political_custom)	2	0	2
17	6533e7003e89335516d43e66	1	2.0	0.0	2.0	2.0	Constitutional_convention_(political_custom)	2	0	2
18	6552b16899091e4aaa587d1b	1	2.0	0.0	2.0	4.0	Constitutional_convention_(political_custom)	2	0	2
19	6496ef958d0761d8a3fdff52	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
20	6548f1c15e6d25e5ab40d001	1	1.0	3.0	2.0	2.0	Constitutional_convention_(political_custom)	2	0	2
21	655a72ea33298201276c64df	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
22	6525b562b415d2f7ed82196e	1	3.0	0.0	2.0	4.0	Constitutional_convention_(political_custom)	2	0	2
23	5fed6c9c0d786daf31f29f3d	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
24	655fb8c644eeae73f71e2ef5	1	2.0	0.0	2.0	1.0	Constitutional_convention_(political_custom)	2	0	2
25	5c81797a5bb27200013c7b1b	1	2.0	0.0	2.0	2.0	Constitutional_convention_(political_custom)	2	0	2
26	656160ea21fef6a13435476c	1	2.0	0.0	0.0	2.0	Constitutional_convention_(political_custom)	2	0	2
27	65636ef7d64d364e644c5951	1	2.0	0.0	2.0	4.0	Constitutional_convention_(political_custom)	2	0	2
28	646184c4dd714ee460118417	1	2.0	0.0	1.0	1.0	Constitutional_convention_(political_custom)	2	0	2
29	6267c3d17f88988d0d787c7f	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
30	650d2857d00b55d1e7fd8691	1	2.0	0.0	2.0	4.0	Constitutional_convention_(political_custom)	2	0	2
31	65510e18d5c77d6aca4c119f	1	2.0	0.0	2.0	4.0	Constitutional_convention_(political_custom)	2	0	2
32	5faefcc22be93b11829e84df	2	1.0	2.0	3.0	3.0	Unaccompanied_minor	1	2	3
33	6533e7003e89335516d43e66	2	1.0	2.0	1.0	4.0	Unaccompanied_minor	1	2	3
34	6552b16899091e4aaa587d1b	2	1.0	2.0	3.0	4.0	Unaccompanied_minor	1	2	3
35	6496ef958d0761d8a3fdff52	2	1.0	2.0	3.0	5.0	Unaccompanied_minor	1	2	3
36	6548f1c15e6d25e5ab40d001	2	1.0	0.0	2.0	1.0	Unaccompanied_minor	1	2	3
