	PROLIFIC_PID	q_id	conceptQ	predictionQ	limitationQ	familiarity_concept	concept	concept_question_answer	prediction_question_answer	limitation_question_answer
0	56b3edf12bac74000d89e452	0	0.0	3.0	0.0	4.0	Abstention_doctrine	0	3	0
1	5c06b3f64a2b7b0001c3c185	0	0.0	3.0	0.0	2.0	Abstention_doctrine	0	3	0
2	6529ab7cce64633c2c5cc4a2	0	0.0	3.0	0.0	4.0	Abstention_doctrine	0	3	0
3	652450c48e576172e7f00c1a	0	0.0	1.0	2.0	1.0	Abstention_doctrine	0	3	0
4	6151fa2a75f20752350d8005	0	0.0	1.0	0.0	3.0	Abstention_doctrine	0	3	0
5	5c423a7a5aca820001f6fc82	0	0.0	1.0	0.0	4.0	Abstention_doctrine	0	3	0
6	651c96a60cb6fef420819ac0	0	0.0	1.0	0.0	4.0	Abstention_doctrine	0	3	0
7	653eab5d336cbcdb305b8f18	0	0.0	3.0	0.0	3.0	Abstention_doctrine	0	3	0
8	65612746d0cb24811468bab3	0	0.0	3.0	1.0	5.0	Abstention_doctrine	0	3	0
9	64d8e4e738368be56871e9f4	0	0.0	1.0	2.0	2.0	Abstention_doctrine	0	3	0
10	653bb543ad732bd7544272be	0	0.0	3.0	0.0	3.0	Abstention_doctrine	0	3	0
11	65381ee8f58cff48dc4b59d8	0	0.0	3.0	0.0	4.0	Abstention_doctrine	0	3	0
12	650739048d93f13a5f6b200b	0	0.0	3.0	0.0	3.0	Abstention_doctrine	0	3	0
13	5ba855d47c0ebe0001272f70	0	0.0	1.0	2.0	3.0	Abstention_doctrine	0	3	0
14	5f2cb797b8aecb1c7114e485	0	0.0	1.0	0.0	3.0	Abstention_doctrine	0	3	0
15	5aea351112ed990001f873c3	0	0.0	3.0	0.0	3.0	Abstention_doctrine	0	3	0
16	64f66c9ee363277ddc6f05e9	0	0.0	0.0	1.0	3.0	Abstention_doctrine	0	3	0
17	56b3edf12bac74000d89e452	1	2.0	0.0	2.0	5.0	Constitutional_convention_(political_custom)	2	0	2
18	5c06b3f64a2b7b0001c3c185	1	2.0	0.0	2.0	2.0	Constitutional_convention_(political_custom)	2	0	2
19	6529ab7cce64633c2c5cc4a2	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
20	652450c48e576172e7f00c1a	1	2.0	0.0	2.0	2.0	Constitutional_convention_(political_custom)	2	0	2
21	6151fa2a75f20752350d8005	1	2.0	0.0	2.0	4.0	Constitutional_convention_(political_custom)	2	0	2
22	5c423a7a5aca820001f6fc82	1	2.0	0.0	2.0	5.0	Constitutional_convention_(political_custom)	2	0	2
23	651c96a60cb6fef420819ac0	1	2.0	0.0	2.0	4.0	Constitutional_convention_(political_custom)	2	0	2
24	653eab5d336cbcdb305b8f18	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
25	65612746d0cb24811468bab3	1	1.0	0.0	2.0	5.0	Constitutional_convention_(political_custom)	2	0	2
26	64d8e4e738368be56871e9f4	1	2.0	0.0	2.0	1.0	Constitutional_convention_(political_custom)	2	0	2
27	653bb543ad732bd7544272be	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
28	65381ee8f58cff48dc4b59d8	1	2.0	0.0	2.0	4.0	Constitutional_convention_(political_custom)	2	0	2
29	650739048d93f13a5f6b200b	1	2.0	0.0	2.0	4.0	Constitutional_convention_(political_custom)	2	0	2
30	5ba855d47c0ebe0001272f70	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
31	5f2cb797b8aecb1c7114e485	1	2.0	0.0	2.0	3.0	Constitutional_convention_(political_custom)	2	0	2
32	5aea351112ed990001f873c3	1	1.0	0.0	2.0	2.0	Constitutional_convention_(political_custom)	2	0	2
33	64f66c9ee363277ddc6f05e9	1	2.0	0.0	2.0	4.0	Constitutional_convention_(political_custom)	2	0	2
34	56b3edf12bac74000d89e452	2	1.0	2.0	3.0	5.0	Unaccompanied_minor	1	2	3
35	5c06b3f64a2b7b0001c3c185	2	1.0	2.0	3.0	3.0	Unaccompanied_minor	1	2	3
36	6529ab7cce64633c2c5cc4a2	2	1.0	2.0	3.0	5.0	Unaccompanied_minor	1	2	3
37	652450c48e576172e7f00c1a	2	1.0	1.0	0.0	3.0	Unaccompanied_minor	1	2	3
38	6151fa2a75f20752350d8005	2	1.0	2.0	3.0	5.0	Unaccompanied_minor	1	2	3
39	5c423a7a5aca820001f6fc82	2	1.0	0.0	3.0	4.0	Unaccompanied_minor	1	2	3
40	651c96a60cb6fef420819ac0	2	1.0	2.0	3.0	5.0	Unaccompanied_minor	1	2	3
41	653eab5d336cbcdb305b8f18	2	1.0	2.0	3.0	4.0	Unaccompanied_minor	1	2	3
42	65612746d0cb24811468bab3	2	1.0	2.0	3.0	5.0	Unaccompanied_minor	1	2	3
43	64d8e4e738368be56871e9f4	2	1.0	2.0	3.0	1.0	Unaccompanied_minor	1	2	3
44	653bb543ad732bd7544272be	2	1.0	2.0	3.0	3.0	Unaccompanied_minor	1	2	3
45	65381ee8f58cff48dc4b59d8	2	1.0	2.0	3.0	4.0	Unaccompanied_minor	1	2	3
46	650739048d93f13a5f6b200b	2	1.0	2.0	3.0	5.0	Unaccompanied_minor	1	2	3
47	5ba855d47c0ebe0001272f70	2	1.0	2.0	3.0	4.0	Unaccompanied_minor	1	2	3
48	5f2cb797b8aecb1c7114e485	2	1.0	2.0	3.0	4.0	Unaccompanied_minor	1	2	3
49	5aea351112ed990001f873c3	2	1.0	2.0	3.0	4.0	Unaccompanied_minor	1	2	3
50	64f66c9ee363277ddc6f05e9	2	1.0	2.0	3.0	5.0	Unaccompanied_minor	1	2	3
51	56b3edf12bac74000d89e452	3	3.0	1.0	2.0	3.0	Substantial_certainty_doctrine	3	1	2
52	5c06b3f64a2b7b0001c3c185	3	3.0	1.0	2.0	2.0	Substantial_certainty_doctrine	3	1	2
53	6529ab7cce64633c2c5cc4a2	3	3.0	1.0	2.0	4.0	Substantial_certainty_doctrine	3	1	2
54	652450c48e576172e7f00c1a	3	3.0	0.0	0.0	1.0	Substantial_certainty_doctrine	3	1	2
55	6151fa2a75f20752350d8005	3	3.0	1.0	2.0	4.0	Substantial_certainty_doctrine	3	1	2
56	5c423a7a5aca820001f6fc82	3	3.0	1.0	2.0	5.0	Substantial_certainty_doctrine	3	1	2
57	651c96a60cb6fef420819ac0	3	3.0	1.0	2.0	4.0	Substantial_certainty_doctrine	3	1	2
58	653eab5d336cbcdb305b8f18	3	3.0	0.0	2.0	4.0	Substantial_certainty_doctrine	3	1	2
59	65612746d0cb24811468bab3	3	3.0	1.0	2.0	5.0	Substantial_certainty_doctrine	3	1	2
60	64d8e4e738368be56871e9f4	3	3.0	1.0	2.0	1.0	Substantial_certainty_doctrine	3	1	2
61	653bb543ad732bd7544272be	3	3.0	1.0	2.0	3.0	Substantial_certainty_doctrine	3	1	2
62	65381ee8f58cff48dc4b59d8	3	3.0	1.0	2.0	4.0	Substantial_certainty_doctrine	3	1	2
63	650739048d93f13a5f6b200b	3	3.0	1.0	2.0	5.0	Substantial_certainty_doctrine	3	1	2
64	5ba855d47c0ebe0001272f70	3	3.0	0.0	2.0	3.0	Substantial_certainty_doctrine	3	1	2
65	5f2cb797b8aecb1c7114e485	3	3.0	1.0	2.0	3.0	Substantial_certainty_doctrine	3	1	2
66	5aea351112ed990001f873c3	3	3.0	1.0	2.0	2.0	Substantial_certainty_doctrine	3	1	2
67	64f66c9ee363277ddc6f05e9	3	3.0	1.0	2.0	3.0	Substantial_certainty_doctrine	3	1	2
68	56b3edf12bac74000d89e452	4	0.0	3.0	1.0	5.0	Learned_intermediary	0	3	1
69	5c06b3f64a2b7b0001c3c185	4	0.0	3.0	1.0	2.0	Learned_intermediary	0	3	1
70	6529ab7cce64633c2c5cc4a2	4	0.0	3.0	1.0	5.0	Learned_intermediary	0	3	1
71	652450c48e576172e7f00c1a	4	0.0	1.0	3.0	2.0	Learned_intermediary	0	3	1
72	6151fa2a75f20752350d8005	4	0.0	3.0	1.0	4.0	Learned_intermediary	0	3	1
73	5c423a7a5aca820001f6fc82	4	0.0	2.0	1.0	5.0	Learned_intermediary	0	3	1
74	651c96a60cb6fef420819ac0	4	0.0	3.0	0.0	5.0	Learned_intermediary	0	3	1
75	653eab5d336cbcdb305b8f18	4	0.0	3.0	1.0	4.0	Learned_intermediary	0	3	1
76	65612746d0cb24811468bab3	4	0.0	3.0	1.0	5.0	Learned_intermediary	0	3	1
77	64d8e4e738368be56871e9f4	4	0.0	3.0	0.0	1.0	Learned_intermediary	0	3	1
78	653bb543ad732bd7544272be	4	0.0	3.0	1.0	3.0	Learned_intermediary	0	3	1
79	65381ee8f58cff48dc4b59d8	4	0.0	2.0	1.0	4.0	Learned_intermediary	0	3	1
80	650739048d93f13a5f6b200b	4	0.0	3.0	1.0	5.0	Learned_intermediary	0	3	1
81	5ba855d47c0ebe0001272f70	4	0.0	3.0	1.0	3.0	Learned_intermediary	0	3	1
82	5f2cb797b8aecb1c7114e485	4	0.0	3.0	1.0	3.0	Learned_intermediary	0	3	1
83	5aea351112ed990001f873c3	4	0.0	3.0	1.0	3.0	Learned_intermediary	0	3	1
84	64f66c9ee363277ddc6f05e9	4	0.0	3.0	1.0	4.0	Learned_intermediary	0	3	1
85	56b3edf12bac74000d89e452	14	0.0	1.0	2.0	4.0	Remoteness_in_English_law	0	1	3
86	63304bb0700854da0ad87641	14	0.0	1.0	3.0	3.0	Remoteness_in_English_law	0	1	3
87	65612746d0cb24811468bab3	14	0.0	1.0	3.0	5.0	Remoteness_in_English_law	0	1	3
88	5c81797a5bb27200013c7b1b	14	0.0	1.0	3.0	4.0	Remoteness_in_English_law	0	1	3
89	6537e43c008bb605430a302f	14	2.0	1.0	3.0	4.0	Remoteness_in_English_law	0	1	3
90	650c40d475f6580650cd7938	14	0.0	1.0	3.0	4.0	Remoteness_in_English_law	0	1	3
91	653bb543ad732bd7544272be	14	0.0	1.0	3.0	3.0	Remoteness_in_English_law	0	1	3
92	5fed6c9c0d786daf31f29f3d	14	0.0	1.0	3.0	3.0	Remoteness_in_English_law	0	1	3
93	5ee890fabb763018d1ad774e	14	0.0	1.0	1.0	3.0	Remoteness_in_English_law	0	1	3
94	655424abfafb67fe33ca8476	14	0.0	1.0	3.0	4.0	Remoteness_in_English_law	0	1	3
95	5e29fd5f2bec3b065e9a729e	14	0.0	1.0	3.0	1.0	Remoteness_in_English_law	0	1	3
96	6529ab7cce64633c2c5cc4a2	14	0.0	1.0	3.0	4.0	Remoteness_in_English_law	0	1	3
97	64f66c9ee363277ddc6f05e9	14	0.0	1.0	3.0	4.0	Remoteness_in_English_law	0	1	3
98	56b3edf12bac74000d89e452	15	2.0	1.0	3.0	5.0	Pacta_sunt_servanda	2	0	3
99	63304bb0700854da0ad87641	15	2.0	1.0	3.0	3.0	Pacta_sunt_servanda	2	0	3
100	65612746d0cb24811468bab3	15	2.0	0.0	3.0	5.0	Pacta_sunt_servanda	2	0	3
101	5c81797a5bb27200013c7b1b	15	2.0	0.0	3.0	5.0	Pacta_sunt_servanda	2	0	3
102	6537e43c008bb605430a302f	15	2.0	0.0	0.0	3.0	Pacta_sunt_servanda	2	0	3
103	650c40d475f6580650cd7938	15	2.0	0.0	3.0	4.0	Pacta_sunt_servanda	2	0	3
